charter,membership_eligibility,membership_field,membership_url,timestamp,membership_notes
1,limited,"As a member-owned, not-for-profit financial cooperative, Morris Sheppard Texarkana FCU will continue to uphold its fundamental responsibility to actively serve people within our field of membership, which consists of the employees of the City of Texarkana TX, City of Texarkana AR, Bowie County and their spouse, children, and grandchildren. ",http://morrissheppardfcu.org/about-us/,2023-10-28 15:40:12.883043,
26,open,"The American farmer has always been known for honesty, hard work, and helping out their neighbor. Those values were the foundation of our credit union back in 1934 when a group of local farmers came together and built a place to save their money and make loans to one another. Today, you don't have to be a farmer to be a member, but you can be confident in knowing that those founding principles still exist in everything we do. We are still neighbors helping neighbors improve their lives.",https://www.farmersfcu.com/About-Us,2023-10-28 15:49:18.771896,
12,limited,"Persons who live, work, worship, or attend school in, and businesses and other legal entities located in Hartford County, Connecticut are now eligible to join.",https://www.franklintrust.org/en/membership/join-ftfcu-today,2023-10-28 16:23:17.273627,
13,limited,"In 2007, we became a community-chartered credit union and thus opened our membership eligibility to everyone who lives, works or worships in the nine-parish area surrounding East Baton Rouge.",https://www.efcufinancial.org/about-us/,2023-10-28 16:25:58.853919,
47,limited,"Fargo Public Schools Federal Credit Union is a not-for-profit, member-owned financial cooperative providing services to the employees of Fargo Public Schools and their families.",https://www.fpsfcu.com/about-us,2023-10-29 00:51:29.83814,
107,limited,"There are several ways to be eligible for KEMBA membership.  

If you are related to an existing member or you live in the same household of an existing member, or if you are related to an employee, retired employee, or volunteer from one of the Select Employee Groups listed below

If you live in the state of Virginia you can join KEMBA through the Virginia Consumer Council.  Membership to the Virginia Consumer Council is FREE and we will process your membership for you at no charge.  Click Here for more information on the Virginia Consumer Council today!

If you are currently employed, retired, a member, or a volunteer at one of the following Select Employee Groups (once you're a member of KEMBA, you're always a member even if you no longer work for one of the employers below):

AMF Lynchburg Lanes
Atlas Cold Storage
Barker Realty
Bayse Transportation Service, Inc.
Candyth R. Thomas, EA
Creative Masonry
Flowserve Corporation
Fort Lewis Baptist Church
Grand Piano/Grand Home Furnishings
GLD Services
International Brotherhood of Electrical Workers, Local 637
Interstate Battery
James River Equipment
Kroger
LexisNexis
Lynchburg College
Lynchburg Community Action Group
Lynchburg Nissan/Hyundai/Mitsubishi
Manpower

Mortgage Atlantic
Oakridge Auto Group
One Source Communications
Peerless Electrical Services
R & T Lynch Transport
RPM Group
R.R. Donnelley & Sons
Ruan
Salem Printing Inc.
Salem Specialties
Simpsonville
Southeast Rural Community Assistance Project
Waste Management
West Salem Baptist Church
Westover Dairy
Whitt Carpet & Tile
Wilson Trucking
Valley Logistics
Virginia Consumer Council",https://kembafcu.org/join-1,2023-10-29 10:45:40.737566,
60,limited,"Levo is Sioux Falls’ oldest credit union. It initially opened its first branch in 1934 as Sioux Falls Federal Credit Union. Over time, it’s grown to serve over 30,000 members with six Sioux Falls locations. It currently serves anyone who lives or works in Minnehaha, Lincoln, McCook, and Turner counties of South Dakota.",https://www.levo.org/about/levohistory,2023-10-29 10:04:05.70302,
82,limited,"You are eligible to become a First Atlantic member if:

You live, work, worship, or attend school in Monmouth or Ocean County, New Jersey
A member of your immediate family is an existing member",https://www.fafcu.com/become-member,2023-10-29 10:37:19.674508,
6,open,"There are many ways that you might qualify to join our credit union family. If you don’t see yourself in any of the lists below, please contact us and we’ll help you determine how you are eligible to join!",https://www.noffcu.org/become-a-member,2023-10-28 16:15:06.785495,
98,limited,"Membership in the Niagara Falls Teachers Federal Credit Union is open to any employee of the Niagara Falls City School District or the Niagara Falls Police Department. In addition, any immediate or extended family members of those employees are eligible to join our credit union.",https://nftfcu.org/,2023-10-29 10:43:01.798931,
